domain,industry_growth_projection,automation_risk,emerging_skills
Data Science & AI,High (34% growth),Low,GenAI, MLOps, Ethical AI
Healthcare,Moderate (18% growth),Low,Telemedicine, Robotic Surgery, Health Informatics
Biotechnology,Moderate (12% growth),Low,Crispr-Cas9, Gene Editing, Personalized Medicine
Finance & Accounting,Steady (15% growth),Moderate,FinTech, ESG Reporting, Blockchain Finance
Business,Stable (7% growth),Moderate,E-commerce Strategy, Digital Transformation, CRM
Management,Stable (10% growth),Moderate,Remote Team Management, Agile Leadership, Data-Driven Decisions
Economics,Stable (14% growth),Low,Behavioral Economics, Predictive Modeling, Sustainability Metrics
Psychology,Steady (12% growth),Low,Digital Mental Health, Workplace Wellness, Neuropsychology
Law,Steady (11% growth),Moderate,LegalTech, Cyber Law, AI for Document Analysis
Design,High (20% growth),Moderate,AI-Assisted Design, AR/VR Design, Design Systems
